,ticker,open,close,high,low,volume,turnover,avg
76,2020-02-20 10:46,15.13,15.12,15.15,15.12,2681,4055279.00,15.223
77,2020-02-20 10:47,15.13,15.15,15.16,15.12,2958,4478119.00,15.223
78,2020-02-20 10:48,15.16,15.17,15.18,15.16,4064,6164690.00,15.222
79,2020-02-20 10:49,15.17,15.16,15.17,15.15,2597,3936909.00,15.221
80,2020-02-20 10:50,15.15,15.15,15.16,15.15,1350,2045319.00,15.221
81,2020-02-20 10:51,15.16,15.18,15.18,15.15,2682,4066242.00,15.221
82,2020-02-20 10:52,15.18,15.18,15.19,15.16,3382,5127581.00,15.220
83,2020-02-20 10:53,15.18,15.16,15.18,15.14,2112,3201830.00,15.220
84,2020-02-20 10:54,15.18,15.19,15.19,15.16,2101,3188324.00,15.219
85,2020-02-20 10:55,15.18,15.18,15.19,15.18,1304,1980267.00,15.219
86,2020-02-20 10:56,15.19,15.19,15.19,15.18,1807,2743691.00,15.219
87,2020-02-20 10:57,15.18,15.20,15.20,15.18,3773,5727673.00,15.219
88,2020-02-20 10:58,15.19,15.18,15.20,15.16,1403,2130515.00,15.218
89,2020-02-20 10:59,15.18,15.17,15.18,15.16,1791,2716564.00,15.218
90,2020-02-20 11:00,15.17,15.16,15.18,15.16,1519,2304489.00,15.218
91,2020-02-20 11:01,15.17,15.17,15.18,15.16,1782,2702846.00,15.218
92,2020-02-20 11:02,15.17,15.20,15.20,15.16,1784,2706812.00,15.218
93,2020-02-20 11:03,15.20,15.20,15.20,15.16,1788,2714763.00,15.217
94,2020-02-20 11:04,15.19,15.18,15.20,15.18,1208,1834854.00,15.217
95,2020-02-20 11:05,15.19,15.18,15.20,15.18,1669,2534370.00,15.217
96,2020-02-20 11:06,15.19,15.18,15.19,15.17,1744,2647039.00,15.217
97,2020-02-20 11:07,15.16,15.18,15.18,15.16,1601,2428381.00,15.217
98,2020-02-20 11:08,15.16,15.18,15.18,15.16,1151,1746268.00,15.217
99,2020-02-20 11:09,15.18,15.18,15.18,15.17,830,1259663.00,15.216
100,2020-02-20 11:10,15.18,15.17,15.18,15.16,1635,2479624.00,15.216
101,2020-02-20 11:11,15.17,15.14,15.17,15.13,3784,5732533.00,15.216
102,2020-02-20 11:12,15.13,15.16,15.16,15.13,3007,4550313.00,15.215
103,2020-02-20 11:13,15.16,15.16,15.17,15.14,1733,2626183.00,15.215
104,2020-02-20 11:14,15.16,15.14,15.16,15.14,1452,2199733.00,15.214
105,2020-02-20 11:15,15.15,15.13,15.15,15.13,1450,2195479.00,15.214
106,2020-02-20 11:16,15.14,15.14,15.14,15.13,2596,3928459.00,15.214
107,2020-02-20 11:17,15.14,15.14,15.15,15.13,2927,4430922.00,15.213
108,2020-02-20 11:18,15.14,15.15,15.16,15.13,1785,2702994.00,15.213
109,2020-02-20 11:19,15.14,15.14,15.15,15.14,3501,5301733.00,15.212
110,2020-02-20 11:20,15.14,15.16,15.18,15.14,2091,3168236.00,15.212
111,2020-02-20 11:21,15.16,15.15,15.18,15.14,3008,4559530.00,15.211
112,2020-02-20 11:22,15.16,15.16,15.18,15.15,2136,3237546.00,15.211
113,2020-02-20 11:23,15.18,15.15,15.18,15.15,1359,2061412.00,15.211
114,2020-02-20 11:24,15.15,15.16,15.16,15.15,1659,2514359.00,15.211
115,2020-02-20 11:25,15.17,15.18,15.18,15.17,1081,1640542.00,15.210
116,2020-02-20 11:26,15.18,15.17,15.18,15.16,1740,2638368.00,15.210
117,2020-02-20 11:27,15.17,15.18,15.19,15.17,1577,2393479.00,15.210
118,2020-02-20 11:28,15.18,15.15,15.18,15.15,2268,3439503.00,15.210
119,2020-02-20 11:29,15.15,15.18,15.18,15.15,1773,2688600.00,15.210
120,2020-02-20 11:30,15.18,15.18,15.18,15.17,1425,2162921.00,15.210
